strategy,model,feature_set,fold,n_train,n_test,accuracy,balanced_accuracy,precision,recall,f1,roc_auc
loso,knn,all,A23,142,3,1.0,,0.0,0.0,0.0,
loso,knn,all,A24,142,3,0.3333333333333333,,1.0,0.3333333333333333,0.5,
loso,knn,all,A25,142,3,1.0,,0.0,0.0,0.0,
loso,knn,all,A27,142,3,1.0,1.0,1.0,1.0,1.0,1.0
loso,knn,all,A28,142,3,0.3333333333333333,0.25,0.0,0.0,0.0,0.5
loso,knn,all,A30,142,3,0.0,,0.0,0.0,0.0,
loso,knn,all,B01,141,4,0.5,0.5,0.5,1.0,0.6666666666666666,0.5
loso,knn,all,B02,141,4,1.0,,1.0,1.0,1.0,
loso,knn,all,B03,141,4,0.5,0.5,0.5,1.0,0.6666666666666666,0.5
loso,knn,all,B06,141,4,1.0,,1.0,1.0,1.0,
loso,knn,all,B07,141,4,1.0,,1.0,1.0,1.0,
loso,knn,all,B08,141,4,0.25,0.25,0.3333333333333333,0.5,0.4,0.375
loso,knn,all,B09,141,4,1.0,1.0,1.0,1.0,1.0,1.0
loso,knn,all,B10,141,4,0.75,0.5,0.75,1.0,0.8571428571428571,0.8333333333333333
loso,knn,all,B12,141,4,0.5,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333
loso,knn,all,B13,141,4,0.25,0.5,0.25,1.0,0.4,0.5
loso,knn,all,B14,141,4,0.5,0.5,0.5,1.0,0.6666666666666666,0.5
loso,knn,all,B15,141,4,0.5,,1.0,0.5,0.6666666666666666,
loso,knn,all,B16,141,4,0.5,,1.0,0.5,0.6666666666666666,
loso,knn,all,B17,141,4,0.0,,0.0,0.0,0.0,
loso,knn,all,B18,142,3,1.0,,1.0,1.0,1.0,
loso,knn,all,B19,141,4,0.25,0.16666666666666666,0.5,0.3333333333333333,0.4,0.16666666666666666
loso,knn,all,B20,141,4,1.0,1.0,1.0,1.0,1.0,1.0
loso,gb,all,A01,142,3,0.0,,0.0,0.0,0.0,
loso,gb,all,A03,142,3,1.0,,0.0,0.0,0.0,
