threshold,feature_engineering,model,precision,precision_lower,precision_upper,recall,recall_lower,recall_upper,f1_score,f1_lower,f1_upper
threshold_3_5,eyetracking,rf,0.6842105263157895,0.47520152460660015,0.8932195280249788,0.5652173913043478,0.36262272238161125,0.7678120602270844,0.6190476190476191,0.3857096195964115,0.8523856184988267
threshold_3_5,eyetracking,svm,0.6896551724137931,0.5212763969736101,0.8580339478539762,0.8695652173913043,0.7319292428744989,1.0072011919081099,0.7692307692307693,0.6256841449844724,0.9127773934770661
threshold_3_5,eyetracking,knn,0.8260869565217391,0.6711827779375525,0.9809911351059257,0.8260869565217391,0.6711827779375525,0.9809911351059257,0.8260869565217391,0.6934934150715687,0.9586804979719096
threshold_3_5,eyetracking,gb,0.7692307692307693,0.5402000747834759,0.9982614636780627,0.4347826086956521,0.23218793977291557,0.6373772776183886,0.5555555555555556,0.3004046242581746,0.8107064868529366
threshold_3_5,eyetracking,nb,0.7142857142857143,0.37962785320181347,1.048943575369615,0.217391304347826,0.0488223504393851,0.3859602582562669,0.3333333333333333,0.009196983936725689,0.6574696827299409
threshold_3_5,eyetracking,mlp,0.71875,0.5629712207243163,0.8745287792756837,1.0,1.0,1.0,0.8363636363636363,0.7308975405102147,0.9418297322170579
threshold_3_5,eyetracking,rule,0.5714285714285714,0.2048292523044059,0.9380278905527368,0.1739130434782608,0.01900886489407419,0.32881722206244746,0.2666666666666666,-0.12606344794354019,0.6593967812768734
threshold_3_5,eeg,logreg,0.71875,0.5629712207243163,0.8745287792756837,1.0,1.0,1.0,0.8363636363636363,0.7308975405102147,0.9418297322170579
threshold_3_5,eeg,rf,0.7037037037037037,0.5314675816123684,0.875939825795039,0.8260869565217391,0.6711827779375525,0.9809911351059257,0.76,0.6068212562912841,0.9131787437087159
threshold_3_5,eeg,svm,0.71875,0.5629712207243163,0.8745287792756837,1.0,1.0,1.0,0.8363636363636363,0.7308975405102147,0.9418297322170579
threshold_3_5,eeg,knn,0.7307692307692307,0.5602733504809246,0.9012651110575368,0.8260869565217391,0.6711827779375525,0.9809911351059257,0.7755102040816326,0.6264084834913605,0.9246119246719048
threshold_3_5,eeg,gb,0.76,0.592586489327222,0.927413510672778,0.8260869565217391,0.6711827779375525,0.9809911351059257,0.7916666666666666,0.647275304884469,0.9360580284488642
threshold_3_5,eeg,nb,0.8461538461538461,0.6500236769652681,1.0422840153424242,0.4782608695652174,0.27411372836892345,0.6824080107615114,0.6111111111111112,0.38698728831555906,0.8352349339066633
threshold_3_5,eeg,mlp,0.7142857142857143,0.5469567837437639,0.8816146448276647,0.8695652173913043,0.7319292428744989,1.0072011919081099,0.7843137254901961,0.6443121034612862,0.9243153475191059
threshold_3_5,eeg,rule,0.75,0.5378276748607178,0.9621723251392822,0.5217391304347826,0.31759198923848864,0.7258862716310766,0.6153846153846154,0.38174334662356424,0.8490258841456666
threshold_3_5,hrv,logreg,0.7419354838709677,0.5879022399247333,0.8959687278172022,1.0,1.0,1.0,0.8518518518518519,0.750325138935301,0.9533785647684028
threshold_3_5,hrv,rf,0.7241379310344828,0.561468579636768,0.8868072824321975,0.9130434782608696,0.7978889601695959,1.0281979963521435,0.8076923076923077,0.6805961703046499,0.9347884450799655
threshold_3_5,hrv,svm,0.71875,0.5629712207243163,0.8745287792756837,1.0,1.0,1.0,0.8363636363636363,0.7308975405102147,0.9418297322170579
threshold_3_5,hrv,knn,0.6666666666666666,0.46504732758694656,0.8682860057463867,0.6086956521739131,0.4092421761187174,0.8081491282291088,0.6363636363636364,0.41387066120105376,0.858856611526219
threshold_3_5,hrv,gb,0.68,0.4971447086482821,0.862855291351718,0.7391304347826086,0.5596750795601348,0.9185857900050824,0.7083333333333334,0.5275000752849434,0.8891665913817234
threshold_3_5,hrv,nb,0.7272727272727273,0.5411713075347333,0.9133741470107213,0.6956521739130435,0.5076056333132334,0.8836987145128535,0.7111111111111111,0.5250910631767203,0.897131159045502
threshold_3_5,hrv,mlp,0.71875,0.5629712207243163,0.8745287792756837,1.0,1.0,1.0,0.8363636363636363,0.7308975405102147,0.9418297322170579
threshold_3_5,hrv,rule,0.6818181818181818,0.48718865834815783,0.8764477052882057,0.6521739130434783,0.4575272512113743,0.8468205748755823,0.6666666666666666,0.460272395528393,0.8730609378049403
threshold_3_5,non_intrusive,logreg,0.6923076923076923,0.5149012792347549,0.8697141053806297,0.782608695652174,0.614039741743733,0.9511776495606149,0.7346938775510204,0.5679441664709266,0.9014435886311143
threshold_3_5,non_intrusive,rf,0.7142857142857143,0.5469567837437639,0.8816146448276647,0.8695652173913043,0.7319292428744989,1.0072011919081099,0.7843137254901961,0.6443121034612862,0.9243153475191059
threshold_3_5,non_intrusive,svm,0.7,0.5360176480688885,0.8639823519311114,0.9130434782608696,0.7978889601695959,1.0281979963521435,0.7924528301886793,0.6617464232770187,0.9231592371003399
threshold_3_5,non_intrusive,knn,0.8095238095238095,0.6415762856317595,0.9774713334158596,0.7391304347826086,0.5596750795601348,0.9185857900050824,0.7727272727272727,0.613378000178461,0.9320765452760844
threshold_3_5,non_intrusive,gb,0.7619047619047619,0.5797400956677012,0.9440694281418225,0.6956521739130435,0.5076056333132334,0.8836987145128535,0.7272727272727273,0.5472045562434281,0.9073408983020265
threshold_3_5,non_intrusive,nb,0.6363636363636364,0.4353511288757195,0.8373761438515532,0.6086956521739131,0.4092421761187174,0.8081491282291088,0.6222222222222222,0.39476696398058675,0.8496774804638577
threshold_3_5,non_intrusive,mlp,0.6666666666666666,0.13323203596052113,1.2001012973728122,0.0869565217391304,-0.028197996352143387,0.20211103983040418,0.1538461538461538,-0.16201059724772032,0.4697029049400279
threshold_3_5,non_intrusive,rule,0.6666666666666666,0.4488928906066606,0.8844404427266727,0.5217391304347826,0.31759198923848864,0.7258862716310766,0.5853658536585366,0.3342988962922105,0.8364328110248627
threshold_4,pca,logreg,0.45,0.23196777094638096,0.668032229053619,0.8181818181818182,0.5902550587990167,1.0461085775646197,0.5806451612903226,0.3247525637956855,0.8365377587849597
threshold_4,pca,rf,0.4545454545454545,0.2464777419237667,0.6626131671671422,0.9090909090909092,0.7392043331338485,1.0789774850479699,0.6060606060606061,0.38631598642605747,0.8258052256951547
threshold_4,pca,svm,0.4761904761904761,0.2625834708401551,0.6897974815407971,0.9090909090909092,0.7392043331338485,1.0789774850479699,0.625,0.4057557096135951,0.8442442903864049
threshold_4,pca,knn,0.5263157894736842,0.3018041070755586,0.7508274718718098,0.9090909090909092,0.7392043331338485,1.0789774850479699,0.6666666666666666,0.4503700511261074,0.8829632822072259
threshold_4,pca,gb,0.3529411764705882,0.12577342637956151,0.5801089265616148,0.5454545454545454,0.25120236437300697,0.8397067265360838,0.4285714285714285,0.027943877558087582,0.8291989795847694
threshold_4,pca,nb,0.4444444444444444,0.2148907287760883,0.6739981601128006,0.7272727272727273,0.4640855755023683,0.9904598790430863,0.5517241379310345,0.2547684716654458,0.8486798041966231
threshold_4,pca,mlp,0.4444444444444444,0.2148907287760883,0.6739981601128006,0.7272727272727273,0.4640855755023683,0.9904598790430863,0.5517241379310345,0.2547684716654458,0.8486798041966231
threshold_4,pca,rule,0.4210526315789473,0.19904953833410985,0.6430557248237847,0.7272727272727273,0.4640855755023683,0.9904598790430863,0.5333333333333333,0.23632151679213825,0.8303451498745285
threshold_4,ica,logreg,0.4761904761904761,0.2625834708401551,0.6897974815407971,0.9090909090909092,0.7392043331338485,1.0789774850479699,0.625,0.4057557096135951,0.8442442903864049
threshold_4,ica,rf,0.2666666666666666,0.042878282424673536,0.4904550509086597,0.3636363636363636,0.07936174934032825,0.6479109779323989,0.3076923076923077,-0.2521910864852758,0.8675757018698912
threshold_4,ica,svm,0.4285714285714285,0.21691521299035801,0.640227644152499,0.8181818181818182,0.5902550587990167,1.0461085775646197,0.5625,0.3066782359077096,0.8183217640922904
threshold_4,ica,knn,0.4761904761904761,0.2625834708401551,0.6897974815407971,0.9090909090909092,0.7392043331338485,1.0789774850479699,0.625,0.4057557096135951,0.8442442903864049
threshold_4,ica,gb,0.4166666666666667,0.13772702149116767,0.6956063118421657,0.4545454545454545,0.16029327346391603,0.748797635626993,0.4347826086956521,-0.029965372885551234,0.8995305902768554
threshold_4,ica,nb,0.4375,0.19442606491861436,0.6805739350813856,0.6363636363636364,0.352089022067601,0.9206382506596718,0.5185185185185185,0.17428617424946669,0.8627508627875703
threshold_4,ica,mlp,0.4705882352941176,0.23331925862666347,0.7078572119615717,0.7272727272727273,0.4640855755023683,0.9904598790430863,0.5714285714285714,0.27536602968904356,0.8674911131680992
threshold_4,ica,rule,0.3846153846153846,0.12015351843172112,0.6490772507990481,0.4545454545454545,0.16029327346391603,0.748797635626993,0.4166666666666667,-0.05224675516933125,0.8855800885026646
threshold_4,mi,logreg,0.5,0.25500450193249324,0.7449954980675068,0.7272727272727273,0.4640855755023683,0.9904598790430863,0.5925925925925926,0.29846799028696747,0.8867171948982177
threshold_4,mi,rf,0.4347826086956521,0.23218793977291557,0.6373772776183886,0.9090909090909092,0.7392043331338485,1.0789774850479699,0.5882352941176471,0.3684824233665517,0.8079881648687425
threshold_4,mi,svm,0.4545454545454545,0.2464777419237667,0.6626131671671422,0.9090909090909092,0.7392043331338485,1.0789774850479699,0.6060606060606061,0.38631598642605747,0.8258052256951547
threshold_4,mi,knn,0.4736842105263157,0.24917252812819013,0.6981958929244413,0.8181818181818182,0.5902550587990167,1.0461085775646197,0.6,0.344660312060819,0.855339687939181
threshold_4,mi,gb,0.45,0.23196777094638096,0.668032229053619,0.8181818181818182,0.5902550587990167,1.0461085775646197,0.5806451612903226,0.3247525637956855,0.8365377587849597
threshold_4,mi,nb,0.5,0.25500450193249324,0.7449954980675068,0.7272727272727273,0.4640855755023683,0.9904598790430863,0.5925925925925926,0.29846799028696747,0.8867171948982177
threshold_4,mi,mlp,0.1818181818181818,-0.046108577564619724,0.4097449412009833,0.1818181818181818,-0.046108577564619724,0.4097449412009833,0.1818181818181818,-0.7046088826358125,1.068245246272176
threshold_4,mi,rule,0.4761904761904761,0.2625834708401551,0.6897974815407971,0.9090909090909092,0.7392043331338485,1.0789774850479699,0.625,0.4057557096135951,0.8442442903864049
threshold_4,anova,logreg,0.5263157894736842,0.3018041070755586,0.7508274718718098,0.9090909090909092,0.7392043331338485,1.0789774850479699,0.6666666666666666,0.4503700511261074,0.8829632822072259
threshold_4,anova,rf,0.4285714285714285,0.21691521299035801,0.640227644152499,0.8181818181818182,0.5902550587990167,1.0461085775646197,0.5625,0.3066782359077096,0.8183217640922904
threshold_4,anova,svm,0.5294117647058824,0.29214278803842825,0.7666807413733365,0.8181818181818182,0.5902550587990167,1.0461085775646197,0.6428571428571429,0.39112336823659166,0.8945909174776941
threshold_4,anova,knn,0.3809523809523809,0.17325270518749772,0.5886520567172641,0.7272727272727273,0.4640855755023683,0.9904598790430863,0.5,0.20476167232453024,0.7952383276754698
threshold_4,anova,gb,0.4230769230769231,0.2331747033378716,0.6129791428159745,1.0,1.0,1.0,0.5945945945945946,0.4070505470509879,0.7821386421382013
threshold_4,anova,nb,0.5625,0.31942606491861436,0.8055739350813856,0.8181818181818182,0.5902550587990167,1.0461085775646197,0.6666666666666666,0.41841116230421316,0.9149221710291201
threshold_4,anova,mlp,0.5,0.2808693648558546,0.7191306351441453,0.9090909090909092,0.7392043331338485,1.0789774850479699,0.6451612903225806,0.4270200814272542,0.863302499217907
threshold_4,anova,rule,0.4285714285714285,0.21691521299035801,0.640227644152499,0.8181818181818182,0.5902550587990167,1.0461085775646197,0.5625,0.3066782359077096,0.8183217640922904
threshold_4,rfe,logreg,0.5294117647058824,0.29214278803842825,0.7666807413733365,0.8181818181818182,0.5902550587990167,1.0461085775646197,0.6428571428571429,0.39112336823659166,0.8945909174776941
threshold_4,rfe,rf,0.4090909090909091,0.2036405045896507,0.6145413135921676,0.8181818181818182,0.5902550587990167,1.0461085775646197,0.5454545454545454,0.29020943083132694,0.8006996600777638
threshold_4,rfe,svm,0.5625,0.31942606491861436,0.8055739350813856,0.8181818181818182,0.5902550587990167,1.0461085775646197,0.6666666666666666,0.41841116230421316,0.9149221710291201
